,F0,F1,F2,F3,F4,F5
0,-0.7356611459411885,-0.11086122911041908,-2.446558393045285,-0.6726705636548743,-0.932843712103269,-0.7233610094364974
1,-0.7356611459411885,-0.11086122911041908,-2.446558393045285,-0.6726705636548743,-0.932843712103269,-0.7233610094364974
2,-0.7162436833593011,-0.08632728803698085,-2.504063519463944,-0.5249121117375248,-0.7677510999429223,-0.7230336693615135
3,-0.8844555909336842,-0.18568648127417894,-2.601644889630234,-0.5876721088414866,-0.7821121327008695,-0.6692162214946266
4,-0.9787417095186036,-0.08835960522198749,-2.7507988106585524,-0.5300981717703239,-1.2019903455811234,-0.6994045104106533
5,-0.9285945023656588,0.008688112402263456,-2.931255935522517,-0.5571414399228011,-1.2538885323632711,-0.7003693002021206
6,-0.8015120071823514,-0.09190701773594984,-3.1696528953286576,-0.6037570052491603,-1.2828206869185084,-0.7517054344096474
7,-0.9893553455589192,-0.07920083731170674,-3.1495224505972024,-0.6618802811007696,-1.2058957164290098,-0.6849668807370369
8,-0.931106043767667,-0.008661091028485276,-3.2741863142413536,-0.7204629609433247,-1.2192356175127943,-0.6937458764769102
9,-0.8529057594760847,0.23029504841580498,-3.309119761733284,-0.6646622981153724,-1.2115692245132939,-0.6521533449077801
10,-0.80861196703231,0.31063989986969026,-3.3219586539474872,-0.6226371848293409,-1.1842775906383252,-0.6841670130159813
11,-0.6103605003358744,0.08885473350884557,-3.478643284661774,-0.5914461120456119,-1.2045103933711552,-0.781250905345672
12,-0.7704531009150511,0.05699103957821524,-3.4275646066495344,-0.5420365428410918,-1.1885819664916444,-0.6706507828809394
13,-0.7748669682339384,0.2365098606217007,-3.4471182580009807,-0.5009677492915071,-1.1648711415292476,-0.6025606036222152
14,-0.7491149588754688,0.5410966366170368,-3.3776232165289155,-0.4380140514866895,-0.6331283510756596,-0.6202182303714616
15,-0.7511190095094149,0.5093121348565702,-3.2893653029167482,-0.4754176418418001,-0.34522427825325475,-0.5595139280855684
16,-0.6735050162956125,0.6942060797660204,-3.274788557696016,-0.3898609185289959,-0.5545536328705182,-0.5255546573599317
17,-0.708274628166787,0.7292736860781875,-3.3102492779701937,-0.3507205848677006,-0.7355915916085793,-0.49280556922549645
18,-0.8087681714172325,0.7525537876824605,-3.325308217597604,-0.2875335628559755,-0.7891769429773436,-0.529381203870985
19,-0.9726872490231098,0.7283695427259818,-3.3510446132166596,-0.37855835313373376,-0.7922172671931242,-0.5738790627550377
20,-1.0323737479234352,0.574333168901067,-3.4166236380350536,-0.390097413098796,-0.8297923277660462,-0.5850186138861732
21,-1.0248420907631266,0.6436332296887608,-3.456951287201671,-0.3406514312648918,-0.9848438177972806,-0.6843383603508641
22,-1.192861714052203,0.5601187007315294,-3.337581051440522,-0.17758819432211145,-1.1129168882870182,-0.5630604379865385
23,-1.2680912384273821,0.5305440405313961,-3.2955089725985394,-0.35844873588299714,-1.050940149446515,-0.38189708559287144
24,-1.3521476479770163,0.34086121868975877,-3.2487870781836055,-0.3532108709973856,-1.0000843971971505,-0.25413339126873025
25,-1.3844166904183102,0.28252388741914464,-3.2420330408345848,-0.3980395459745564,-1.0051568774867556,-0.11646054769781183
26,-1.3454051512331355,0.21568505693203643,-3.297681257608681,-0.3870623423134658,-1.0359600032294474,-0.22536353765095773
27,-1.3439257044167479,0.22063939401240637,-3.3302369356909725,-0.41403751154183294,-1.0094835920984253,-0.237575178666703
28,-1.3581537339707987,0.180231450032751,-3.3434022240784795,-0.43401355973723194,-0.988623003930144,0.050012691953379235
29,-1.3898923507895147,0.28186088621000066,-3.315523229208563,-0.3245532784145629,-0.9689862824214498,-0.10906223608188564
30,-1.4417165878204041,0.43575705466057385,-3.2771275694398185,-0.20584175321478188,-0.9807894197842929,-0.2123240774939933
31,-1.4081724480924902,0.5790098552614853,-3.283158084102586,-0.11220444477758071,-1.0208702776367435,-0.25334937293972937
32,-1.3966067825676167,0.7168923723125235,-3.2477204632681675,-0.34045574121822947,-0.7547162952171105,-0.2546424088747533
33,-1.3686327816292079,1.6173778468558726,-3.131444250136003,-0.3580311480577283,-0.7601738475650034,-0.362047575216202
34,-1.2992589431003103,1.2174355413160078,-3.139511633319948,-0.27623017976672326,-0.4749515053501638,-0.3007212210873044
35,-1.1998678363930544,1.626922294541189,-3.0729160589325772,-0.03812770239850755,-0.6252774533876453,-0.3841336533413667
36,-1.1486695021947244,1.2625733072753746,-2.947954645724191,-0.16775263306893756,0.23909503548378377,-0.2922414588463426
37,-1.1222386340729509,1.9850718002042622,-2.818844740678048,0.059562697759783116,0.01097572640955366,-0.6401350151911195
38,-1.1638211300703263,1.2765958112045925,-2.7553776114523383,0.12402962751760528,0.5418633906830195,-0.32268872352179456
39,-1.2921852689149067,0.7209609168233296,-2.75167896671285,-0.016669073973323224,0.27177799901683763,-0.22927083132510437
40,-1.2490705152695338,1.9248096512411916,-2.5464156990328224,0.4508832402197455,0.08455436453611136,-0.39863853985856157
41,-1.2782313104496363,2.673314286178077,-2.394958253965113,0.18741764516622633,0.5185892378292212,-0.5010261827219602
42,-1.2885133166456437,2.566163369223323,-2.391446191745019,0.4049545850729244,0.19799858970036713,-0.4195744426480656
43,-1.3073485003761554,2.2291529585194003,-2.557953963856316,0.1953757256937992,-0.3984004940270629,-0.4671239916935339
